;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kurva CP;(Multiple Items);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kurva Remaining;(All);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Moth Program;(All);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Count of Site ID Actual;;Vendor;General Status;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;EID;;EID Total;HWI;;HWI Total;Grand Total;;;;;;;;;;;;;;Update;13-Nov-25;EID;;EID Total;HWI;;HWI Total;Grand Total;;Total;Percentage Program;;All;;;
sett#all;Part;Done;NY Done;;Done;NY Done;;;;;;;;;;;;;;;;sett#all;Part;Done;NY Done;;Done;NY Done;;Done;NY Done;;EID;HWI;;;;
;;Capacity Upgrade;767;1;768;33;;33;801;;;;;;;;;;;;;;Capacity Upgrade;767;1;768;33;;33;801;99,87%;100,00%;99,88%;;;;;
;CP1 P2C 2024;Reeng;3;;3;;;;3;;;;;;;;;;;;;CP1 P2C 2024;Reeng;3;;3;;;;3;100,00%;;100,00%;;;;;
;CP1 P2D 2024;New NE;189;;189;29;;29;218;;;;;;;;;;;;;CP1 P2D 2024;New NE;189;;189;29;;29;218;100,00%;100,00%;100,00%;;;;;
;;Reeng;152;2;154;1;;1;155;;;;;;;;;;;;;;Reeng;152;2;154;1;;1;155;98,70%;100,00%;98,71%;;;;;
;;Capacity Upgrade;30;;30;3;;3;33;;;;;;;;;;;;;;Capacity Upgrade;30;;30;3;;3;33;100,00%;100,00%;100,00%;;;;;
;CP1 P2E 2024;Capacity Upgrade;34;;34;2;1;3;37;;;;;;;;;;;;;CP1 P2E 2024;Capacity Upgrade;34;;34;2;1;3;37;100,00%;66,67%;97,30%;;;;;
;CP1 P3 2024;New Site;94;;94;1;;1;95;;;;;;;;;;;;;CP1 P3 2024;New Site;94;;94;1;;1;95;100,00%;100,00%;100,00%;;;;;
CP1 2024 Total;;;1897;3;1900;157;2;159;2059;;;;;;;;;;;;CP1 2024 Total;;;1896;4;1900;157;2;159;2059;99,79%;98,74%;99,71%;;;;;
CP2 2024;CP2 P1 2024;New Site;40;;40;;;;40;;;;;;;;;;;;CP2 2024;CP2 P1 2024;New Site;40;;40;;;;40;100,00%;#DIV/0!;100,00%;;;;;
;;New NE;492;1;493;18;;18;511;;;;;;;;;;;;;;New NE;492;1;493;18;;18;511;99,80%;100,00%;99,80%;;;;;
